source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
711991473282863616,43069157389268893,G,2175.73155209164,16.528753500299842,4607.287851492239,16.391536645762034,281.07724,false,false,1,375316653866487564
711991473282863616,48188594818142492,G,2268.313663157177,16.634427135595026,4179.996254115735,12.649890147089552,330.43735,false,false,1,375316653866487564
711991473282863616,48192687123781321,G,2268.387656941656,16.82971795994944,3491.8820283749546,13.590742105148633,256.93094,false,false,4194821,375316653866487564
711991473282863616,49045907298718713,G,2283.8164629989096,16.900259626856055,3272.2230238705683,9.200891642756773,355.64194,false,false,1,375316653866487564
711991473282863616,49049999571605001,G,2283.8904842751685,16.998546576294764,2989.0151500840434,18.158577052081338,164.60625,false,false,32773,375316653866487564
711991473282863616,50966185712166534,G,2318.540438462607,17.016742348285334,2939.3398830507604,17.73003882981385,165.78305,false,false,1,375316653866487564
711991473282863616,58473881613771360,G,2454.310471065514,16.778944310324427,3659.0557177340997,9.670626304807076,378.368,false,false,1,375316653866487564
711991473282863616,58477973906838016,G,2454.384483653066,16.93559012568534,3167.4567720324403,6.120435142066581,517.5215,false,false,1,375316653866487564
711991473282863616,59483268494807536,G,2472.566241751428,16.865939124913062,3377.311329197339,12.488439319266575,270.43503,false,false,1,375316653866487564
711991473282863616,59487360777896533,G,2472.6402272167024,17.00680717987659,2966.360127241679,16.81011450755589,176.46281,false,false,4194305,375316653866487564
711991473282863616,61265589215568901,G,2504.8017061546175,17.099708636072542,2723.09813292068,6.635278596149351,410.39694,false,false,1,375316653866487564
711991473282863616,61269681508638847,G,2504.875720366651,16.673338859881625,4032.8419578381113,13.954791868950391,288.99335,false,false,1,375316653866487564
711991473282863616,68879014232244731,G,,,,,,true,true,4194815,375316653866487564
711991473282863616,70067826258649156,G,2663.985806111453,16.912265680292847,3236.238161158794,11.052157795795317,292.81506,false,false,1,375316653866487564
711991473282863616,71749522089600777,G,2694.395521772165,16.97290285042161,3060.4522411557855,10.024801784505499,305.28806,false,false,1,375316653866487564
711991473282863616,71753614372029070,G,2694.4694937701097,16.8132269850507,3545.324181012379,7.0367328813220675,503.831,false,false,4194305,375316653866487564
711991473282863616,17956152569504508,BP,1721.5680939078848,16.96806952958717,2229.405532211955,33.86337381161065,65.835304,false,false,0,375316653866487564
711991473282863616,17960244871484433,BP,1721.6421060756663,17.262085878039553,1700.5230973140726,44.94051325804125,37.839424,false,false,0,375316653866487564
711991473282863616,17969985595666842,BP,1721.8182745840616,17.04191852038279,2082.809156026503,47.150145833971465,44.17397,false,false,0,375316653866487564
711991473282863616,19723201650799294,BP,1753.527040337226,16.651802792127874,2983.292040900604,29.10395315127281,102.5047,false,false,0,375316653866487564
711991473282863616,21519162761867588,BP,1786.0092197332103,16.85056052388219,2484.235003255801,32.656358189349895,76.072014,false,false,0,375316653866487564
711991473282863616,22455258934682086,BP,1802.9394809166997,17.33489603345688,1590.2246199135548,32.622837062755885,48.74575,false,false,0,375316653866487564
711991473282863616,22459351228933490,BP,1803.0134932513567,16.771711656532844,2671.3588005026722,27.208644154292013,98.18052,false,false,0,375316653866487564
711991473282863616,27630077563139750,BP,1896.524109035184,17.00484792015115,2155.1510693984783,27.724802049161806,77.73369,false,false,0,375316653866487564
711991473282863616,27634169915306796,BP,1896.5981122014048,17.089180088111384,1994.0904384174767,30.4417403445066,65.50514,false,false,0,375316653866487564
711991473282863616,27643910797411674,BP,1896.7742598507734,17.067910325353722,2033.5401719523427,29.12640695510128,69.81775,false,false,0,375316653866487564
711991473282863616,27648003090989406,BP,1896.8482619428444,17.059614212689226,2049.1379722821143,34.656324869135936,59.127388,false,false,0,375316653866487564
